นิวยอร์ก	newˑyɔ̂ɔk
ผะอืดผะอม	phàˑʉ̀ʉtˑphàˑom
พะอืดพะอม	pháˑʉ̀ʉtˑpháˑom
พัดผ่าน	phátˑphàan
พัดพา	phátˑphaa
พัดหลวง	phátˑlǔaŋ
พัดลมตั้งโต๊ะ	phátˑlomˑtâŋˑtó
พัดลมระบายอากาศ	phátˑlomˑráˑbaayˑaaˑkàat
พัดลม	phátˑlom
พัดกระหน่ำ	phátˑkràˑnàm
พธู	phaˑthuu
เพื่อที่จะ	phʉ̂aˑthîiˑcà
ไผทโกรม	phaˑthayˑkroom
ไผท	phaˑthay
พะทำมะรง	pháˑthamˑmáˑroŋ
พัดดึงส์	phátˑdʉŋ
พัดด้ามจิ้ว	phátˑdâamˑcîw
พัชนี	phátˑchaˑnii
พัดชัก	phátˑchák
พัดชา	phátˑchaa
พัดโบก	phátˑbòok
เพื่อนต่างเพศ	phʉ̂aˑtàaŋˑphêet
ผัด	phàt
ภัต	phát
ภัจ	phát
พัด	phát
พัชร	phát
พัตร	phát
พรรษ	phát
พัสตร์	phát
เผือด	phʉ̀at
พสุธา	phaˑsùˑthaa
ผสมเทียม	phaˑsǒmˑthiam
ผสมโรง	phaˑsǒmˑrooŋ
ผสมผเส	phaˑsǒmˑphaˑsěe
ผสมผสาน	phaˑsǒmˑphaˑsǎan
ผสมพันธุ์	phaˑsǒmˑphan
ผสมกลมกลืน	phaˑsǒmˑklomˑklʉʉn
ผสม	phaˑsǒm
พสกนิกร	phaˑsòkˑníˑkɔɔn
พสก	phaˑsòk
ผสาน	phaˑsǎan
ผะสา	phàˑsǎa
ผรุสวาท	phaˑrùˑsaˑwàat
พะรุงพะรัง	pháˑruŋˑpháˑraŋ
เพื่อนรุ่นเดียวกัน	phʉ̂aˑrûnˑdiawˑkan
เพื่อนร่วมทาง	phʉ̂aˑrûamˑthaaŋ
เพื่อนร่วมโรงเรียน	phʉ̂aˑrûamˑrooŋˑrian
เพื่อนร่วมงาน	phʉ̂aˑrûamˑŋaan
เพื่อนร่วมโลก	phʉ̂aˑrûamˑlôok
เพื่อนร่วมห้อง	phʉ̂aˑrûamˑhɔ̂ŋ
เพื่อนร่วมชั้น	phʉ̂aˑrûamˑchán
เพื่อนร่วมชาติ	phʉ̂aˑrûamˑchâat
ภรตวรรษ	phaˑrótˑtaˑwát
ภรตศาสตร์	phaˑrótˑtaˑsàat
ภรต	phaˑrót
ภริยา	phaˑríˑyaa
พฤหัสบดีจักร	phaˑrʉ́ˑhàtˑsaˑbɔɔˑdiiˑcàk
พฤหัสบดี	phaˑrʉ́ˑhàtˑsaˑbɔɔˑdii
พฤหัส	phaˑrʉ́ˑhàt
ภระมร	pháˑráˑmɔɔn
ภระมรี	pháˑráˑmáˑrii
ภราดรภาพ	phaˑraaˑdɔɔnˑphâap
ภราดร	phaˑraaˑdɔɔn
ภราดา	phaˑraaˑdaa
พับฐาน	phápˑthǎan
เพื่อประโยชน์ของ	phʉ̂aˑpràˑyòotˑkhɔ̌ɔŋ
พับเพียบ	phápˑphîap
พับผ้า	phápˑphâa
พับผ่า	phápˑphàa
พับไป	phápˑpay
พับเขียง	phápˑkhǐaŋ
เผื่อแผ่	phʉ̀aˑphɛ̀ɛ
ผับ	phàp
พับ	pháp
พะอง	pháˑoŋ
เพื่อนยาก	phʉ̂anˑyâak
พันวรรษา	phanˑwaˑsǎa
ผนวช	phaˑnûat
ผนวก	phaˑnûak
พันตู	phanˑtuu
พันตรี	phanˑtrii
พันธุวิศวกรรม	phanˑthúˑwítˑsaˑwaˑkam
ภัณฑูกรรม	phanˑthuuˑkam
พันธุศาสตร์	phanˑthúˑsàat
พันธุกรรม	phanˑthúˑkam
พันโท	phanˑthoo
พันธุ์แท้	phanˑthɛ́ɛ
เพื่อนแท้	phʉ̂anˑthɛ́ɛ
พันธนำ	phanˑthaˑnam
พันธนาคาร	phanˑthaˑnaaˑkhaan
พันธนาการ	phanˑthaˑnaaˑkaan
พันธมิตร	phanˑthaˑmít
พันธไมตรี	phanˑthaˑmayˑtrii
พันธกรณี	phanˑthaˑkɔɔˑraˑnii
พันธกิจ	phanˑthaˑkìt
พันธบัตรรัฐบาล	phanˑthaˑbàtˑrátˑthaˑbaan
พันธบัตร	phanˑthaˑbàt
ภัณฑารักษ์	phanˑthaaˑrák
พันทาง	phanˑthaaŋ
ภัณฑาคาริก	phanˑthaaˑkhaaˑrík
ภัณฑาคาร	phanˑthaaˑkhaan
พันธะ	phanˑthá
เพื่อนตาย	phʉ̂anˑtaay
พันตา	phanˑtaa
เพื่อนซี้	phʉ̂anˑsíi
พันแสง	phanˑsɛ̌ɛŋ
พรรษฤดู	phanˑsaˑrʉ́ˑduu
เพื่อนสนิท	phʉ̂anˑsaˑnít
พรรษากาล	phanˑsǎaˑkaan
พรรษา	phanˑsǎa
ภรรยาน้อย	phanˑraˑyaaˑnɔ́ɔy
ภรรยานอกสมรส	phanˑraˑyaaˑnɔ̂ɔkˑsǒmˑrót
ภรรยาลับ	phanˑraˑyaaˑláp
ภรรยาเก่า	phanˑraˑyaaˑkàw
ภรรยา	phanˑraˑyaa
เพื่อนรัก	phʉ̂anˑrák
ผันแปร	phǎnˑprɛɛ
ผันผวน	phǎnˑphǔan
พันพัว	phanˑphua
พันธุ์พืช	phanˑphʉ̂ʉt
ผันผ่อน	phǎnˑphɔ̀n
ผันผยอง	phǎnˑphaˑyɔ̌ɔŋ
พันธุ์ผสม	phanˑphaˑsǒm
ผันผาย	phǎnˑphǎay
พนอง	phaˑnɔɔŋ
พะนอ	pháˑnɔɔ
พนมศก	phaˑnomˑsòk
พนมเพลิง	phaˑnomˑphləəŋ
พนมมือ	phaˑnomˑmʉʉ
พนม	phaˑnom
พันเนตร	phanˑnêet
พรรณนา	phanˑnaˑnaa
พรรณไม้	phanˑmáy
พันธุ์ไม้	phanˑmáy
เพื่อนมนุษย์	phʉ̂anˑmaˑnút
พัลลภ	phanˑlóp
พันลอก	phanˑlɔ̂ɔk
พันลึก	phanˑlʉ́k
เพื่อนเล่น	phʉ̂anˑlên
พันเลิศ	phanˑlə̂ət
พัลวัน	phanˑlaˑwan
พันลำ	phanˑlam
เพื่อนเกลอ	phʉ̂anˑkləə
เพื่อนกิน	phʉ̂anˑkin
พันแข้งพันขา	phanˑkhɛ̂ŋˑphanˑkhǎa
ผนึก	phaˑnʉ̀k
พณิช	phaˑnít
พนิต	phaˑnít
พณิชย์	phaˑnít
พนิดา	phaˑníˑdaa
เพนียด	phaˑnîat
พะเนียง	pháˑniaŋ
พังยับเยิน	phaŋˑyápˑyəən
พังทลาย	phaŋˑthaˑlaay
พังพวย	phaŋˑphuay
พังผืด	phaŋˑphʉ̀ʉt
พังพอน	phaŋˑphɔɔn
พังพินาศ	phaŋˑphíˑnâat
พังเพย	phaŋˑphəəy
พังพาบ	phaŋˑphâap
พังพาน	phaŋˑphaan
ผงกศีรษะ	phàˑŋòkˑsǐiˑsà
ผงกหัว	phaˑŋòkˑhǔa
ผงก	phaˑŋòk
ผังงาน	phǎŋˑŋaan
พังงา	phaŋˑŋaa
ผังเมืองรวม	phǎŋˑmʉaŋˑruam
ผังเมือง	phǎŋˑmʉaŋ
พังครืน	phaŋˑkhrʉʉn
ภังคี	phaŋˑkhii
ภังคะ	phaŋˑkhá
พังกา	phaŋˑkaa
ผงะหงาย	phàˑŋàˑŋǎay
ผงาด	phaˑŋàat
พะงาบๆ	pháˑŋâapˑpháˑŋâap
พะงาบ	pháˑŋâap
ผง่าน	phaˑŋàan
ผงะ	phàˑŋà
ผัง	phǎŋ
พัง	phaŋ
เพื่อนฝูง	phʉ̂anˑfǔuŋ
พะเนินเทินทึก	pháˑnəənˑthəənˑthʉ́k
พะแนง	pháˑnɛɛŋ
พะเนิน	pháˑnəən
แผนกต้อนรับ	phaˑnɛ̀ɛkˑtɔ̂ɔnˑráp
แผนกผู้ป่วยหนัก	phaˑnɛ̀ɛkˑphûuˑpùayˑnàk
แผนกผลิต	phaˑnɛ̀ɛkˑphaˑlìt
แผนกเครื่องแต่งกายสตรี	phaˑnɛ̀ɛkˑkhrʉ̂aŋˑtɛ̀ŋˑkaayˑsaˑtrii
แผนกเครื่องแต่งกายบุรุษ	phaˑnɛ̀ɛkˑkhrʉ̂aŋˑtɛ̀ŋˑkaayˑbùˑrút
แผนก	phaˑnɛ̀ɛk
แพนก	phaˑnɛ̂ɛk
พเนก	phaˑnêek
พันเอก	phanˑèek
พเนจร	phaˑneeˑcɔɔn
ภรรดร	phanˑdɔɔn
เพื่อนเดินทาง	phʉ̂anˑdəənˑthaaŋ
ภรรดา	phanˑdaa
เพื่อนชาย	phʉ̂anˑchaay
เพื่อนเจ้าสาว	phʉ̂anˑcâwˑsǎaw
เพื่อนเจ้าบ่าว	phʉ̂anˑcâwˑbàaw
พันจ่า	phanˑcàa
เพื่อนบ้าน	phʉ̂anˑbâan
พะเน้าพะนอ	pháˑnáwˑpháˑnɔɔ
พะเน้าพะนึง	pháˑnáwˑpháˑnʉŋ
พนัสบดี	phaˑnátˑsaˑbɔɔˑdii
พนสณฑ์	phaˑnaˑsǒn
พนันขันต่อ	phaˑnanˑkhǎnˑtɔ̀ɔ
ผนังห้อง	phaˑnaŋˑhɔ̂ŋ
ผนัง	phaˑnǎŋ
พนัง	phaˑnaŋ
พนัน	phaˑnan
ผันอักษร	phǎnˑàkˑsɔ̌ɔn
พนักพิง	phaˑnákˑphiŋ
พนักงานยกสินค้า	phaˑnákˑŋaanˑyókˑsǐnˑkháa
พนักงานยกกระเป๋า	pháˑnákˑŋaanˑyókˑkràˑpǎw
พนักงานตรวจตรา	phaˑnákˑŋaanˑtrùatˑtraa
พนักงานตรวจบัญชี	phaˑnákˑŋaanˑtrùatˑbanˑchii
พนักงานต่อโทรศัพท์	phaˑnákˑŋaanˑtɔ̀ɔˑthooˑraˑsàp
พนักงานต้อนรับ	phaˑnákˑŋaanˑtɔ̂ɔnˑráp
พนักงานสืบสวน	phaˑnákˑŋaanˑsʉ̀ʉpˑsǔan
พนักงานสอบสวน	phaˑnákˑŋaanˑsɔ̀ɔpˑsǔan
พนักงานส่งเอกสาร	phaˑnákˑŋaanˑsòŋˑèekˑkaˑsǎan
พนักงานเสิร์ฟ	phaˑnákˑŋaanˑsə̀əp
พนักงานสารบรรณ	phaˑnákˑŋaanˑsǎaˑraˑban
พนักงานรักษาความปลอดภัย	phaˑnákˑŋaanˑrákˑsǎaˑkhwaamˑplɔ̀ɔtˑphay
พนักงานไปรษณีย์	phaˑnákˑŋaanˑprayˑsaˑnii
พนักงานพิมพ์ดีด	phaˑnákˑŋaanˑphimˑdìit
พนักงานขนกระเป๋า	pháˑnákˑŋaanˑkhǒnˑkràˑpǎw
พนักงานขับรถ	phaˑnákˑŋaanˑkhàpˑrót
พนักงานขายตั๋ว	phaˑnákˑŋaanˑkhǎayˑtǔa
พนักงานขายของ	phaˑnákˑŋaanˑkhǎayˑkhɔ̌ɔŋ
พนักงานขาย	phaˑnákˑŋaanˑkhǎay
พนักงานเก็บตั๋ว	phaˑnákˑŋaanˑkèpˑtǔa
พนักงานเก็บเงิน	phaˑnákˑŋaanˑkèpˑŋəən
พนักงานฝึกหัด	phaˑnákˑŋaanˑfʉ̀kˑhàt
พนักงานเดินตั๋ว	phaˑnákˑŋaanˑdəənˑtǔa
พนักงานดับเพลิง	phaˑnákˑŋaanˑdàpˑphləəŋ
พนักงานบริการ	phaˑnákˑŋaanˑbɔɔˑrìˑkaan
พนักงานบัญชี	phaˑnákˑŋaanˑbanˑchii
พนักงาน	phaˑnákˑŋaan
พนักแขน	phaˑnákˑkhɛ̌ɛn
พนักเก้าอี้	phaˑnákˑkâwˑîi
พนัก	phaˑnák
พนาเวศ	phaˑnaaˑwêet
พนาวาส	phaˑnaaˑwâat
พนาด	phaˑnâat
พนาราม	phaˑnaaˑraam
พนาลี	phaˑnaaˑlii
พนาลัย	phaˑnaaˑlay
พนาดร	phaˑnaaˑdɔɔn
พนาดอน	phaˑnaaˑdɔɔn
พนา	phaˑnaa
พณ	phaˑná
ผัน	phǎn
เพื่อน	phʉ̂an
พัน	phan
พรรณ	phan
พรรค์	phan
พันธุ์	phan
ภมุกา	phaˑmúˑkaa
ภมุกะ	pháˑmúˑkà
ภมุ	phaˑmú
พำพึม	phamˑphʉm
ภมร	phaˑmɔɔn
พำนัก	phamˑnák
พม่าแทงกบ	phaˑmâaˑthɛɛŋˑkòp
พม่ารำขวาน	phaˑmâaˑramˑkhwǎan
พม่า	phaˑmâa
พำ	pham
พะโล้	pháˑlóo
ผลิตผล	phaˑlìtˑtaˑphǒn
ผลิตภัณฑ์	phaˑlìtˑtaˑphan
ผลิตกรรม	phaˑlìtˑtaˑkam
ผลิต	phaˑlìt
พลีกรรม	phaˑliiˑkam
พะเลย	pháˑləəy
พะไล	pháˑlay
พลวัต	phaˑlaˑwát
พลศึกษา	phaˑlaˑsʉ̀kˑsǎa
เผื่อเหลือเผื่อขาด	phʉ̀aˑlʉ̌aˑphʉ̀aˑkhàat
พลังงานแสงอาทิตย์	phaˑlaŋˑŋaanˑsɛ̌ɛŋˑaaˑthít
พลังงานนิวเคลียร์	phaˑlaŋˑŋaanˑniwˑkhlia
พลังงานไฟฟ้า	phaˑlaŋˑŋaanˑfayˑfáa
พลังงาน	phaˑlaŋˑŋaan
พลังน้ำ	phaˑlaŋˑnám
พลังความร้อน	phaˑlaŋˑkhwaamˑrɔ́ɔn
พลังไฟฟ้า	phaˑlaŋˑfayˑfáa
พลังจิต	phaˑlaŋˑcìt
พลัง	phaˑlaŋ
พละกำลัง	pháˑláˑkamˑlaŋ
พลการ	phaˑlaˑkaan
เผื่อเลือก	phʉ̀aˑlʉ̂ak
ผลาผล	phaˑlaaˑphǒn
ผลานิสงส์	phaˑlaaˑníˑsǒŋ
พลานามัย	phaˑlaaˑnaaˑmay
พลากร	phaˑlaaˑkɔɔn
ผลาหาร	phaˑlaaˑhǎan
พละ	pháˑlá
พักใหญ่	phákˑyày
ผักตบชวา	phàkˑtòpˑchaˑwaa
ผักทอดยอด	phàkˑthɔ̂ɔtˑyɔ̂ɔt
พักเที่ยง	phákˑthîaŋ
พักตากอากาศ	phákˑtàakˑaaˑkàat
ผักสด	phàkˑsòt
พรรคสังคมนิยม	phákˑsǎŋˑkhomˑníˑyom
พักสมอง	phákˑsaˑmɔ̌ɔŋ
ผักสลัด	phàkˑsaˑlàt
ภักษการ	phákˑsaˑkaan
พักสายตา	phákˑsǎayˑtaa
ภักษาหาร	phákˑsǎaˑhǎan
ภักษา	phákˑsǎa
พรรคร่วมรัฐบาล	phákˑrûamˑrátˑthaˑbaan
พักรบ	phákˑróp
พักร้อน	phákˑrɔ́ɔn
พักแรม	phákˑrɛɛm
พรรคพวก	phákˑphûak
พักผ่อนหย่อนใจ	phákˑphɔ̀nˑyɔ̀nˑcay
พักผ่อน	phákˑphɔ̀n
พักพิง	phákˑphiŋ
พักงาน	phákˑŋaan
พักเหนื่อย	phákˑnʉ̀ay
พรรคนาวิน	phákˑnaaˑwin
พรรคนาวิกโยธิน	phákˑnaaˑwíkˑkaˑyooˑthin
ผักกระเฉด	phàkˑkràˑchèet
พักกลางวัน	phákˑklaaŋˑwan
ผักขม	phàkˑkhǒm
ผักกาด	phàk kàat
พรรคการเมือง	phákˑkaanˑmʉaŋ
เพื่อนคู่หู	phʉ̂aˑkhûuˑhǔu
ภคินี	phaˑkhíˑnii
ภควันต์	phaˑkhaˑwan
เผื่อขาดเผื่อเหลือ	phʉ̀aˑkhàatˑphʉ̀aˑlʉ̌a
พักฟื้น	phákˑfʉ́ʉn
พรรคฝ่ายค้าน	phákˑfàayˑkháan
ภักดี	phákˑdii
ผักชีโรยหน้า	phàkˑchiiˑrooyˑnâa
ผักชีฝรั่ง	phàkˑchiiˑfaˑràŋ
ผักชี	phàkˑchii
ผักบุ้ง	phàkˑbûŋ
พักเอาแรง	phákˑawˑrɛɛŋ
พักอาศัย	phákˑaaˑsǎy
ผกา	phaˑkaa
ผัก	phàk
พัก	phák
พรรค	phák
ภักษ์	phák
พักตร์	phák
เผือก	phʉ̀ak
พหูสูต	phaˑhǔuˑsùut
พหูสูตร	phaˑhǔuˑsùut
พหูพจน์	phaˑhǔuˑphót
พหุพจน์	phaˑhùˑphót
พหุภาคี	phaˑhùˑphaaˑkhii
พหุคูณ	phaˑhùˑkhuun
พหล	phaˑhǒn
เพื่อให้	phʉ̂aˑhây
เผอิญ	phaˑəən
ผดุงรักษา	phaˑduŋˑrákˑsǎa
ผดุงครรภ์	phaˑduŋˑkhan
ผดุง	phaˑduŋ
เผด็จศึก	phaˑdètˑsʉ̀k
เผด็จการ	phaˑdètˑkaan
เผด็จ	phaˑdèt
ผจญภัย	phaˑconˑphay
ผจง	phaˑcoŋ
พะจง	pháˑcoŋ
ผจญ	phaˑcon
พจี	phaˑcii
เผชิญภัย	phaˑchəənˑphay
เผชิญหน้า	phaˑchəənˑnâa
เผชิญความจริง	phaˑchəənˑkhwaamˑciŋ
เผชิญ	phaˑchəən
พายุไต้ฝุ่น	phaaˑyúˑtâyˑfùn
พายุโซนร้อน	phaaˑyúˑsoonˑrɔ́ɔn
พายุหมุน	phaaˑyúˑmǔn
พายุลูกเห็บ	phaaˑyúˑlûukˑhèp
พายุฝน	phaaˑyúˑfǒn
พายุดีเปรสชัน	phaaˑyúˑdiiˑpréetˑchân
พายุ	phaaˑyú
ภายใต้การควบคุม	phaayˑtâyˑkaanˑkhûapˑkhum
ภายใต้	phaayˑtây
ผายปอด	phǎayˑpɔ̀ɔt
ผ่ายผอม	phàayˑphɔ̌ɔm
พ่ายแพ้	phâayˑphɛ́ɛ
ผายผัน	phǎayˑphǎn
ภายภาคหน้า	phaayˑphâakˑnâa
ภายนอก	phaayˑnɔ̂ɔk
ภายในประเทศ	phaayˑnayˑpràˑthêet
ภายในใจ	phaayˑnayˑcay
ภายในบ้าน	phaayˑnayˑbâan
ภายใน	phaayˑnay
ภายหน้า	phaayˑnâa
ผายลม	phǎayˑlom
ภายหลัง	phaayˑlǎŋ
ผ้าเย็น	phâaˑyen
พายัพ	phaaˑyáp
พ่าย	phâay
ภาย	phaay
พาย	phaay
ภาวะวิกฤติ	phaaˑwáˑwíˑkrìt
ภาวะแวดล้อม	phaaˑwáˑwɛ̂ɛtˑlɔ́ɔm
ภาวะถดถอย	phaaˑwáˑthòtˑthɔ̌ɔy
ภาวะสงคราม	phaaˑwáˑsǒŋˑkhraam
ภาวะเศรษฐกิจ	phaaˑwáˑsèetˑthàˑkìt
ภาวะผู้นำ	phaaˑwáˑphûuˑnam
ภาวะเงินเฟ้อ	phaaˑwáˑŋənˑfə́ə
ภาวนา	phaaˑwaˑnaa
ภาวะมลพิษ	phaaˑwáˑmonˑláˑphít
ภาวะคับขัน	phaaˑwáˑkhápˑkhǎn
ภาวะการณ์	phaaˑwáˑkaan
ภาวะฉุกเฉิน	phaaˑwáˑchùkˑchə̌ən
ภาวะเจริญพันธุ์	phaaˑwáˑcàˑrəənˑphan
ภาวะจำยอม	phaaˑwáˑcamˑyɔɔm
ภาวะอารมณ์	phaaˑwáˑaaˑrom
ภาวะ	phaaˑwá
ภาตุ	phaaˑtù
พาสปอร์ต	pháatˑsaˑpɔ̀ɔt
พาสนา	phâatˑsaˑnáa
ภาสกร	phâatˑsaˑkɔɔn
ผ้าไตร	phâaˑtray
ผาดโผน	phàatˑphǒon
ผาดแผลง	phàatˑphlɛ̌ɛŋ
พาดพิงถึง	phâatˑphiŋˑthʉ̌ŋ
พาดพิง	phâatˑphiŋ
ผาดผัง	phàatˑphǎŋ
พาดควาย	phâatˑkhwaay
ภาติกะ	phaaˑtìˑkà
ผ้าเตี่ยว	phâaˑtìaw
ผ้าถุง	phâaˑthǔŋ
พาดหัวเรื่อง	phâatˑhǔaˑrʉ̂aŋ
พาดหัวข่าว	phâatˑhǔaˑkhàaw
พาดหัว	phâatˑhǔa
พาสเจอไรซ์	pháatˑcə̂əˑráy
พาดบ่า	phâatˑbàa
ผ่าตัด	phàaˑtàt
ผ้าตา	phâaˑtaa
พาท	phâat
พาด	phâat
ภาส	phâat
ภาสน์	phâat
พาสน์	phâat
ภาษณ์	phâat
ผาด	phàat
พาสุกรี	phaaˑsùˑkrii
ภาษก	phaaˑsòk
ภาษิต	phaaˑsìt
ผ้าซิ่น	phâaˑsîn
ภาษีที่ดิน	phaaˑsǐiˑthîiˑdin
ภาษีศุลกากร	phaaˑsǐiˑsǔnˑlaˑkaaˑkɔɔn
ภาษีรถยนต์	phaaˑsǐiˑrótˑyon
ภาษีโรงเรือนและที่ดิน	phaaˑsǐiˑrooŋˑrʉanˑlɛ́ˑthîiˑdin
ภาษีรายได้	phaaˑsǐiˑraayˑdây
ภาษีเงินได้	phaaˑsǐiˑŋənˑdây
ภาษีนำเข้า	phaaˑsǐiˑnamˑkhâw
ภาษีมูลค่าเพิ่ม	phaaˑsǐiˑmuunˑkhâaˑphə̂əm
ภาษีมรดก	phaaˑsǐiˑmɔɔˑraˑdòk
ภาษีขาออก	phaaˑsǐiˑkhǎaˑɔ̀ɔk
ภาษีขาเข้า	phaaˑsǐiˑkhǎaˑkhâw
ภาษีการค้า	phaaˑsǐiˑkaanˑkháa
ผ่าซีก	phàaˑsîik
ภาษีบำรุงท้องที่	phaaˑsǐiˑbamˑruŋˑthɔ́ɔŋˑthîi
ภาษีอากร	phaaˑsǐiˑaaˑkɔɔn
ภาษี	phaaˑsǐi
พาร์เซก	phaaˑsèk
ผ้าสไบ	phâaˑsaˑbay
ภาษาเยอรมัน	phaaˑsǎaˑyəəˑraˑman
ภาษาต้นฉบับ	phaaˑsǎaˑtônˑchaˑbàp
ภาษาติดต่อคำ	phaaˑsǎaˑtìtˑtɔ̀ɔˑkham
ภาษาท้องถิ่น	phaaˑsǎaˑthɔ́ɔŋˑthìn
ภาษาถิ่น	phaaˑsǎaˑthìn
ภาษาไทย	phaaˑsǎaˑthay
ภาษาธรรมชาติ	phaaˑsǎaˑthamˑmaˑchâat
ภาษาท่าทาง	phaaˑsǎaˑthâaˑthaaŋ
ภาษาตลาด	phaaˑsǎaˑtaˑlàat
ภาษาต่างประเทศ	phaaˑsǎaˑtàaŋˑpràˑthêet
ภาษาสูง	phaaˑsǎaˑsǔuŋ
ภาษาซี	phaaˑsǎaˑsii
ภาษาสัญลักษณ์	phaaˑsǎaˑsǎnˑyaˑlák
ภาษาศาสนา	phaaˑsǎaˑsàatˑsaˑnǎa
ภาษาศาสตร์	phaaˑsǎaˑsàat
ภาษาสากล	phaaˑsǎaˑsǎaˑkon
ผ้าส่าหรี	phâaˑsàaˑrǐi
ภาษาระดับสูง	phaaˑsǎaˑráˑdàpˑsǔuŋ
ภาษาราชการ	phaaˑsǎaˑrâatˑchaˑkaan
ภาษาประจำชาติ	phaaˑsǎaˑpràˑcamˑchâat
ภาษาพูด	phaaˑsǎaˑphûut
ภาษาพื้นเมือง	phaaˑsǎaˑphʉ́ʉnˑmʉaŋ
ภาษาพิดจิ้น	phaaˑsǎaˑphítˑcîn
ภาษาปาก	phaaˑsǎaˑpàak
ภาษาหนังสือ	phaaˑsǎaˑnaŋˑsʉ̌ʉ
ภาษาแม่	phaaˑsǎaˑmɛ̂ɛ
ภาษามนุษย์	phaaˑsǎaˑmaˑnút
ภาษามลายู	phaaˑsǎaˑmaˑlaaˑyuu
ภาษามาตรฐาน	phaaˑsǎaˑmâatˑtraˑthǎan
ภาษามือ	phaaˑsǎaˑmʉʉ
ภาษาละติน	phaaˑsǎaˑláˑtin
ภาษากลาง	phaaˑsǎaˑklaaŋ
ภาษาครีโอล	phaaˑsǎaˑkhriiˑoon
ภาษาเครื่อง	phaaˑsǎaˑkhrʉ̂aŋ
ภาษาคอมพิวเตอร์	phaaˑsǎaˑkhɔɔmˑphiwˑtə̂ə
ภาษาคน	phaaˑsǎaˑkhon
ภาษาเขียน	phaaˑsǎaˑkhǐan
ภาษากาย	phaaˑsǎaˑkaay
ภาษาจีน	phaaˑsǎaˑciin
ภาษาโบราณ	phaaˑsǎaˑbooˑraan
ภาษาแบบแผน	phaaˑsǎaˑbɛ̀ɛpˑphɛ̌ɛn
ภาษาใบ้	phaaˑsǎaˑbây
ภาษาบาลี	phaaˑsǎaˑbaaˑlii
ภาษาอังกฤษ	phaaˑsǎaˑaŋˑkrìt
ภาษา	phaaˑsǎa
พาซื่อ	phaaˑsʉ̂ʉ
พารณ	phaaˑron
ภารยทรัพย์	phaaˑraˑyaˑsáp
ภาระติดพันในอสังหาริมทรัพย์	phaaˑráˑtìtˑphanˑnayˑàˑsǎŋˑhǎaˑrimˑsáp
ภาระติดพัน	phaaˑráˑtìtˑphan
ภารตี	phaaˑraˑtii
ภารธุระ	phaaˑráˑthúˑrá
ภารตวิทยา	phaaˑraˑtaˑwítˑthaˑyaa
ภาระผูกพัน	phaaˑráˑphùukˑphan
ภาระหน้าที่	phaaˑráˑnâaˑthîi
พารณะ	phaaˑráˑná
ภารกิจ	phaaˑraˑkìt
ภาระจำยอม	phaaˑráˑcamˑyɔɔm
พารามิเตอร์	phaaˑraaˑmíˑtə̂ə
พาราฟิน	phaaˑraaˑfin
ภารา	phaaˑraa
พารา	phaaˑraa
ภาระ	phaaˑrá
ภาพวาด	phâapˑwâat
ภาพติดตา	phâapˑtìtˑtaa
ภาพถ่ายทางอากาศ	phâapˑthàayˑthaaŋˑaaˑkàat
ภาพถ่าย	phâapˑthàay
ภาพซ้อน	phâapˑsɔ́ɔn
ภาพสีน้ำมัน	phâapˑsǐiˑnámˑman
ภาพสะท้อน	phâapˑsàˑthɔ́ɔn
ภาพเสมือน	phâapˑsaˑmʉ̌an
ภาพรวม	phâapˑruam
ภาพร่าง	phâapˑrâaŋ
ภาพปูนเปียก	phâapˑpuunˑpìak
ภาพปูนปั้น	phâapˑpuunˑpân
ภาพประกอบ	phâapˑpràˑkɔ̀ɔp
ภาพเปลือย	phâapˑplʉay
ภาพพจน์	phâapˑphót
ภาพพิมพ์	phâapˑphim
ภาพยนตร์	phâapˑphaˑyon
ภาพนิ่ง	phâapˑnîŋ
ภาพเหมือน	phâapˑmʉ̌an
ภาพมายา	phâapˑmaaˑyaa
ภาพลวงตา	phâapˑluaŋˑtaa
ภาพลวง	phâapˑluaŋ
ภาพหลอน	phâapˑlɔ̌ɔn
ภาพล้อ	phâapˑlɔ́ɔ
ภาพลักษณ์	phâapˑlák
ภาพลามก	phâapˑlaaˑmók
ภาพเคลื่อนไหว	phâapˑkhlʉ̂anˑwǎy
ภาพเขียน	phâapˑkhǐan
ผ้าผวย	phâaˑphǔay
ผ้าแพร	phâaˑphrɛɛ
ผ้าพื้น	phâaˑphʉ́ʉn
ผ่าเผย	phàaˑphə̌əy
ภาพจิตรกรรมฝาผนัง	phâapˑcìtˑtraˑkamˑfǎaˑphaˑnǎŋ
ภาพจำลอง	phâapˑcamˑlɔɔŋ
ภาพอธิบาย	phâapˑaˑthíˑbaay
ภาพ	phâap
ผ้านุ่ง	phâaˑnûŋ
ภาณุมาศ	phaaˑnúˑmáat
ผ้านวม	phâaˑnuam
ภาณุ	phaaˑnú
ผ่านสายตา	phàanˑsǎayˑtaa
ภารโรง	phaanˑrooŋ
ผ่านราคา	phàanˑraaˑkhaa
ผ่านพบ	phàanˑphóp
พานพบ	phaanˑphóp
ผ่านพ้น	phàanˑphón
ผ่านพิภพ	phàanˑphíˑphóp
พานร	phaaˑnɔɔn
ผ่านหน้า	phàanˑnâa
พาลกระแชง	phaanˑkràˑchɛɛŋ
พาลเกเร	phaanˑkeeˑree
ผ่านการทดสอบ	phàanˑkaanˑthótˑsɔ̀ɔp
